# Iterations: 2000
# Rows      : 100
# Cols      : 55
# Levels    : 7
# Ntrees    : 100
# Ntrees internal   : 700
iter,total_time,time_per_row,time_per_tree,time_per_row_tree,time_per_inter_tree,time_per_row_inter_tree
1,11898000,118980,118980,1189,16997,169
2,11710000,117100,117100,1171,16728,167
3,11405000,114050,114050,1140,16292,162
4,12489000,124890,124890,1248,17841,178
5,11662000,116620,116620,1166,16660,166
6,11526000,115260,115260,1152,16465,164
7,11862000,118620,118620,1186,16945,169
8,11566000,115660,115660,1156,16522,165
9,11584000,115840,115840,1158,16548,165
10,11479000,114790,114790,1147,16398,163
11,12266000,122660,122660,1226,17522,175
12,11417000,114170,114170,1141,16310,163
13,11388000,113880,113880,1138,16268,162
14,11846000,118460,118460,1184,16922,169
15,12712000,127120,127120,1271,18160,181
16,11579000,115790,115790,1157,16541,165
17,11400000,114000,114000,1140,16285,162
18,13474000,134740,134740,1347,19248,192
19,12507000,125070,125070,1250,17867,178
20,12640000,126400,126400,1264,18057,180
21,12442000,124420,124420,1244,17774,177
22,13308000,133080,133080,1330,19011,190
23,12459000,124590,124590,1245,17798,177
24,14072000,140720,140720,1407,20102,201
25,12542000,125420,125420,1254,17917,179
26,12479000,124790,124790,1247,17827,178
27,12730000,127300,127300,1273,18185,181
28,12501000,125010,125010,1250,17858,178
29,12273000,122730,122730,1227,17532,175
30,14065000,140650,140650,1406,20092,200
31,12389000,123890,123890,1238,17698,176
33,13516000,135160,135160,1351,19308,193
34,21305000,213050,213050,2130,30435,304
35,14853000,148530,148530,1485,21218,212
36,14940000,149400,149400,1494,21342,213
37,10897000,108970,108970,1089,15567,155
38,11101000,111010,111010,1110,15858,158
39,10992000,109920,109920,1099,15702,157
40,11010000,110100,110100,1101,15728,157
41,10848000,108480,108480,1084,15497,154
42,11073000,110730,110730,1107,15818,158
43,10780000,107800,107800,1078,15400,154
44,10888000,108880,108880,1088,15554,155
45,11030000,110300,110300,1103,15757,157
46,10866000,108660,108660,1086,15522,155
47,10980000,109800,109800,1098,15685,156
48,10982000,109820,109820,1098,15688,156
49,10997000,109970,109970,1099,15710,157
50,11013000,110130,110130,1101,15732,157
51,10953000,109530,109530,1095,15647,156
52,10969000,109690,109690,1096,15670,156
53,11012000,110120,110120,1101,15731,157
54,11030000,110300,110300,1103,15757,157
55,10870000,108700,108700,1087,15528,155
56,10947000,109470,109470,1094,15638,156
57,10831000,108310,108310,1083,15472,154
58,10881000,108810,108810,1088,15544,155
59,10981000,109810,109810,1098,15687,156
60,10822000,108220,108220,1082,15460,154
61,11013000,110130,110130,1101,15732,157
62,11051000,110510,110510,1105,15787,157
63,11109000,111090,111090,1110,15870,158
64,10943000,109430,109430,1094,15632,156
65,11038000,110380,110380,1103,15768,157
66,10819000,108190,108190,1081,15455,154
67,11013000,110130,110130,1101,15732,157
68,10995000,109950,109950,1099,15707,157
69,10761000,107610,107610,1076,15372,153
70,11111000,111110,111110,1111,15872,158
71,11038000,110380,110380,1103,15768,157
72,11128000,111280,111280,1112,15897,158
73,10854000,108540,108540,1085,15505,155
74,11003000,110030,110030,1100,15718,157
75,10968000,109680,109680,1096,15668,156
76,10864000,108640,108640,1086,15520,155
77,11025000,110250,110250,1102,15750,157
78,10650000,106500,106500,1065,15214,152
79,11106000,111060,111060,1110,15865,158
80,10933000,109330,109330,1093,15618,156
81,10911000,109110,109110,1091,15587,155
82,11111000,111110,111110,1111,15872,158
83,11071000,110710,110710,1107,15815,158
84,10981000,109810,109810,1098,15687,156
85,10861000,108610,108610,1086,15515,155
86,11000000,110000,110000,1100,15714,157
87,11069000,110690,110690,1106,15812,158
88,11219000,112190,112190,1121,16027,160
89,11141000,111410,111410,1114,15915,159
90,10899000,108990,108990,1089,15570,155
91,11004000,110040,110040,1100,15720,157
92,10973000,109730,109730,1097,15675,156
93,11033000,110330,110330,1103,15761,157
94,10958000,109580,109580,1095,15654,156
95,10986000,109860,109860,1098,15694,156
96,10917000,109170,109170,1091,15595,155
97,11011000,110110,110110,1101,15730,157
98,12096000,120960,120960,1209,17280,172
99,12351000,123510,123510,1235,17644,176
100,13959000,139590,139590,1395,19941,199
101,12705000,127050,127050,1270,18150,181
102,12173000,121730,121730,1217,17390,173
103,11216000,112160,112160,1121,16022,160
104,10719000,107190,107190,1071,15312,153
105,10301000,103010,103010,1030,14715,147
106,12408000,124080,124080,1240,17725,177
107,10111000,101110,101110,1011,14444,144
108,12512000,125120,125120,1251,17874,178
109,11257000,112570,112570,1125,16081,160
110,10858000,108580,108580,1085,15511,155
111,10709000,107090,107090,1070,15298,152
112,9113000,91130,91130,911,13018,130
113,9555000,95550,95550,955,13650,136
114,10287000,102870,102870,1028,14695,146
115,9148000,91480,91480,914,13068,130
116,10316000,103160,103160,1031,14737,147
117,9977000,99770,99770,997,14252,142
118,11620000,116200,116200,1162,16600,166
119,8292000,82920,82920,829,11845,118
120,8483000,84830,84830,848,12118,121
121,8831000,88310,88310,883,12615,126
122,9686000,96860,96860,968,13837,138
123,9509000,95090,95090,950,13584,135
124,9225000,92250,92250,922,13178,131
125,7580000,75800,75800,758,10828,108
126,7998000,79980,79980,799,11425,114
127,13230000,132300,132300,1323,18900,189
128,8562000,85620,85620,856,12231,122
129,9216000,92160,92160,921,13165,131
130,10436000,104360,104360,1043,14908,149
131,10305000,103050,103050,1030,14721,147
132,9720000,97200,97200,972,13885,138
133,9784000,97840,97840,978,13977,139
134,9661000,96610,96610,966,13801,138
135,9611000,96110,96110,961,13730,137
136,9713000,97130,97130,971,13875,138
137,8284000,82840,82840,828,11834,118
138,8431000,84310,84310,843,12044,120
139,7620000,76200,76200,762,10885,108
140,7018000,70180,70180,701,10025,100
141,8426000,84260,84260,842,12037,120
142,8106000,81060,81060,810,11580,115
143,8131000,81310,81310,813,11615,116
144,7895000,78950,78950,789,11278,112
145,7875000,78750,78750,787,11250,112
146,7587000,75870,75870,758,10838,108
147,7530000,75300,75300,753,10757,107
148,6600000,66000,66000,660,9428,94
149,7928000,79280,79280,792,11325,113
150,6163000,61630,61630,616,8804,88
151,6613000,66130,66130,661,9447,94
152,6994000,69940,69940,699,9991,99
153,7050000,70500,70500,705,10071,100
154,5264000,52640,52640,526,7520,75
155,7856000,78560,78560,785,11222,112
156,6597000,65970,65970,659,9424,94
157,5624000,56240,56240,562,8034,80
158,6114000,61140,61140,611,8734,87
159,5679000,56790,56790,567,8112,81
160,5865000,58650,58650,586,8378,83
161,6293000,62930,62930,629,8990,89
162,5522000,55220,55220,552,7888,78
163,5802000,58020,58020,580,8288,82
164,5792000,57920,57920,579,8274,82
165,5396000,53960,53960,539,7708,77
166,4316000,43160,43160,431,6165,61
167,3999000,39990,39990,399,5712,57
168,5125000,51250,51250,512,7321,73
169,4205000,42050,42050,420,6007,60
170,4585000,45850,45850,458,6550,65
171,4995000,49950,49950,499,7135,71
172,4411000,44110,44110,441,6301,63
173,4644000,46440,46440,464,6634,66
174,3969000,39690,39690,396,5670,56
175,3835000,38350,38350,383,5478,54
176,4538000,45380,45380,453,6482,64
177,4273000,42730,42730,427,6104,61
178,4283000,42830,42830,428,6118,61
179,4156000,41560,41560,415,5937,59
180,3453000,34530,34530,345,4932,49
181,3582000,35820,35820,358,5117,51
182,3969000,39690,39690,396,5670,56
183,3405000,34050,34050,340,4864,48
184,3523000,35230,35230,352,5032,50
185,3914000,39140,39140,391,5591,55
186,3732000,37320,37320,373,5331,53
187,3072000,30720,30720,307,4388,43
188,3142000,31420,31420,314,4488,44
189,3322000,33220,33220,332,4745,47
190,2963000,29630,29630,296,4232,42
191,2940000,29400,29400,294,4200,42
192,2946000,29460,29460,294,4208,42
193,2894000,28940,28940,289,4134,41
194,2874000,28740,28740,287,4105,41
195,2905000,29050,29050,290,4150,41
196,2904000,29040,29040,290,4148,41
197,2813000,28130,28130,281,4018,40
198,3666000,36660,36660,366,5237,52
199,3549000,35490,35490,354,5070,50
200,2986000,29860,29860,298,4265,42
201,3128000,31280,31280,312,4468,44
202,2867000,28670,28670,286,4095,40
203,2838000,28380,28380,283,4054,40
204,2861000,28610,28610,286,4087,40
205,3832000,38320,38320,383,5474,54
206,3100000,31000,31000,310,4428,44
207,3210000,32100,32100,321,4585,45
208,3078000,30780,30780,307,4397,43
209,2941000,29410,29410,294,4201,42
210,2941000,29410,29410,294,4201,42
211,2928000,29280,29280,292,4182,41
212,3130000,31300,31300,313,4471,44
213,3015000,30150,30150,301,4307,43
214,3676000,36760,36760,367,5251,52
215,3216000,32160,32160,321,4594,45
216,2923000,29230,29230,292,4175,41
217,2918000,29180,29180,291,4168,41
218,2897000,28970,28970,289,4138,41
219,2910000,29100,29100,291,4157,41
220,2879000,28790,28790,287,4112,41
221,2899000,28990,28990,289,4141,41
222,3750000,37500,37500,375,5357,53
223,3242000,32420,32420,324,4631,46
224,3600000,36000,36000,360,5142,51
225,2884000,28840,28840,288,4120,41
226,2850000,28500,28500,285,4071,40
227,2826000,28260,28260,282,4037,40
228,2830000,28300,28300,283,4042,40
229,3760000,37600,37600,376,5371,53
230,2902000,29020,29020,290,4145,41
231,3528000,35280,35280,352,5040,50
232,3869000,38690,38690,386,5527,55
233,3121000,31210,31210,312,4458,44
234,3305000,33050,33050,330,4721,47
235,2980000,29800,29800,298,4257,42
236,2915000,29150,29150,291,4164,41
237,3309000,33090,33090,330,4727,47
238,2925000,29250,29250,292,4178,41
239,2837000,28370,28370,283,4052,40
240,2886000,28860,28860,288,4122,41
241,3228000,32280,32280,322,4611,46
242,2960000,29600,29600,296,4228,42
243,2983000,29830,29830,298,4261,42
244,2981000,29810,29810,298,4258,42
245,3110000,31100,31100,311,4442,44
246,3073000,30730,30730,307,4390,43
247,3690000,36900,36900,369,5271,52
248,3293000,32930,32930,329,4704,47
249,3482000,34820,34820,348,4974,49
