# Iterations: 2000
# Rows      : 100
# Cols      : 55
# Levels    : 7
# Ntrees    : 100
# Ntrees internal   : 700
iter,total_time,time_per_row,time_per_tree,time_per_row_tree,time_per_inter_tree,time_per_row_inter_tree
1,22050000,220500,220500,2205,31500,315
2,23498000,234980,234980,2349,33568,335
3,31243000,312430,312430,3124,44632,446
4,22793000,227930,227930,2279,32561,325
5,22782000,227820,227820,2278,32545,325
6,23147000,231470,231470,2314,33067,330
7,23543000,235430,235430,2354,33632,336
8,23266000,232660,232660,2326,33237,332
9,27057000,270570,270570,2705,38652,386
10,28248000,282480,282480,2824,40354,403
11,23793000,237930,237930,2379,33990,339
12,23596000,235960,235960,2359,33708,337
13,24421000,244210,244210,2442,34887,348
14,25028000,250280,250280,2502,35754,357
15,28013000,280130,280130,2801,40018,400
16,25998000,259980,259980,2599,37140,371
17,27522000,275220,275220,2752,39317,393
18,24682000,246820,246820,2468,35260,352
19,25064000,250640,250640,2506,35805,358
20,27246000,272460,272460,2724,38922,389
21,34394000,343940,343940,3439,49134,491
22,22130000,221300,221300,2213,31614,316
23,20770000,207700,207700,2077,29671,296
24,21526000,215260,215260,2152,30751,307
25,21034000,210340,210340,2103,30048,300
26,21589000,215890,215890,2158,30841,308
27,21372000,213720,213720,2137,30531,305
28,20960000,209600,209600,2096,29942,299
29,22817000,228170,228170,2281,32595,325
30,21475000,214750,214750,2147,30678,306
31,21110000,211100,211100,2111,30157,301
33,26196000,261960,261960,2619,37422,374
34,24573000,245730,245730,2457,35104,351
35,24133000,241330,241330,2413,34475,344
36,23740000,237400,237400,2374,33914,339
37,23842000,238420,238420,2384,34060,340
38,23938000,239380,239380,2393,34197,341
39,24185000,241850,241850,2418,34550,345
40,24117000,241170,241170,2411,34452,344
41,24258000,242580,242580,2425,34654,346
42,24488000,244880,244880,2448,34982,349
43,23847000,238470,238470,2384,34067,340
44,23842000,238420,238420,2384,34060,340
45,23667000,236670,236670,2366,33810,338
46,24082000,240820,240820,2408,34402,344
47,24660000,246600,246600,2466,35228,352
48,24835000,248350,248350,2483,35478,354
49,77818000,778180,778180,7781,111168,1111
50,24464000,244640,244640,2446,34948,349
51,23986000,239860,239860,2398,34265,342
52,24639000,246390,246390,2463,35198,351
53,23992000,239920,239920,2399,34274,342
54,23877000,238770,238770,2387,34110,341
