# Iterations: 2000
# Rows      : 100
# Cols      : 55
# Levels    : 7
# Ntrees    : 50
# Ntrees internal   : 350
iter,total_time,time_per_row,time_per_tree,time_per_row_tree,time_per_inter_tree,time_per_row_inter_tree
1,10669000,106690,213380,2133,30482,304
2,10466000,104660,209320,2093,29902,299
3,11293000,112930,225860,2258,32265,322
4,11286000,112860,225720,2257,32245,322
5,12741000,127410,254820,2548,36402,364
6,10795000,107950,215900,2159,30842,308
7,11705000,117050,234100,2341,33442,334
8,10664000,106640,213280,2132,30468,304
9,12029000,120290,240580,2405,34368,343
10,13493000,134930,269860,2698,38551,385
11,13861000,138610,277220,2772,39602,396
12,12019000,120190,240380,2403,34340,343
13,11099000,110990,221980,2219,31711,317
14,11199000,111990,223980,2239,31997,319
15,11766000,117660,235320,2353,33617,336
16,14469000,144690,289380,2893,41340,413
17,10171000,101710,203420,2034,29060,290
18,9772000,97720,195440,1954,27920,279
19,9618000,96180,192360,1923,27480,274
20,9838000,98380,196760,1967,28108,281
21,9649000,96490,192980,1929,27568,275
22,9853000,98530,197060,1970,28151,281
23,9832000,98320,196640,1966,28091,280
24,9746000,97460,194920,1949,27845,278
25,9612000,96120,192240,1922,27462,274
26,9975000,99750,199500,1995,28500,285
27,9648000,96480,192960,1929,27565,275
28,9579000,95790,191580,1915,27368,273
29,9957000,99570,199140,1991,28448,284
30,9802000,98020,196040,1960,28005,280
31,9861000,98610,197220,1972,28174,281
33,12734000,127340,254680,2546,36382,363
34,11465000,114650,229300,2293,32757,327
35,10991000,109910,219820,2198,31402,314
36,10846000,108460,216920,2169,30988,309
37,10901000,109010,218020,2180,31145,311
38,10937000,109370,218740,2187,31248,312
39,11177000,111770,223540,2235,31934,319
40,10762000,107620,215240,2152,30748,307
41,10734000,107340,214680,2146,30668,306
42,11209000,112090,224180,2241,32025,320
43,10686000,106860,213720,2137,30531,305
44,11819000,118190,236380,2363,33768,337
45,11158000,111580,223160,2231,31880,318
46,10967000,109670,219340,2193,31334,313
47,10936000,109360,218720,2187,31245,312
48,11088000,110880,221760,2217,31680,316
49,11446000,114460,228920,2289,32702,327
50,10945000,109450,218900,2189,31271,312
51,11208000,112080,224160,2241,32022,320
52,10779000,107790,215580,2155,30797,307
53,11089000,110890,221780,2217,31682,316
54,10856000,108560,217120,2171,31017,310
55,10953000,109530,219060,2190,31294,312
56,11231000,112310,224620,2246,32088,320
57,11052000,110520,221040,2210,31577,315
58,11195000,111950,223900,2239,31985,319
59,10837000,108370,216740,2167,30962,309
60,11151000,111510,223020,2230,31860,318
61,10849000,108490,216980,2169,30997,309
62,12044000,120440,240880,2408,34411,344
63,10808000,108080,216160,2161,30880,308
64,11069000,110690,221380,2213,31625,316
65,10922000,109220,218440,2184,31205,312
66,10848000,108480,216960,2169,30994,309
67,11135000,111350,222700,2227,31814,318
68,11066000,110660,221320,2213,31617,316
69,11074000,110740,221480,2214,31640,316
70,11111000,111110,222220,2222,31745,317
71,11128000,111280,222560,2225,31794,317
72,11201000,112010,224020,2240,32002,320
73,13543000,135430,270860,2708,38694,386
74,11225000,112250,224500,2245,32071,320
75,11281000,112810,225620,2256,32231,322
76,11082000,110820,221640,2216,31662,316
77,11065000,110650,221300,2213,31614,316
78,11495000,114950,229900,2299,32842,328
79,11031000,110310,220620,2206,31517,315
80,10992000,109920,219840,2198,31405,314
81,11205000,112050,224100,2241,32014,320
