climb,course,fclimb,fcourse,fspeed,gspeed
1.9261354,3.6726844,-0.019261355,3.6726846E-7,0.1410726,14.10726
1.8945851,3.5264418,-0.01894585,3.5264418E-7,0.14107287,14.107286
1.9575768,3.3802,-0.019575767,3.3802E-7,0.14107263,14.107263
1.7896147,3.2339575,-0.017896147,3.2339577E-7,0.14107269,14.107268
1.9132838,3.0877151,-0.019132838,3.0877152E-7,0.14107287,14.107286
2.0327764,2.9414725,-0.020327764,2.9414724E-7,0.14107276,14.107277
1.9915073,2.7952306,-0.019915072,2.7952305E-7,0.14107281,14.107281
1.9203448,2.6489878,-0.019203449,2.6489877E-7,0.1410727,14.107271
1.76422,2.5027454,-0.0176422,2.5027455E-7,0.1410727,14.107271
1.9800403,2.356503,-0.019800402,2.356503E-7,0.14107274,14.107273
2.036449,2.2102606,-0.02036449,2.2102606E-7,0.14107275,14.107275
1.8692143,2.0640185,-0.018692143,2.0640185E-7,0.14107274,14.107274
1.9992207,1.9177761,-0.019992208,1.9177762E-7,0.14107274,14.107273
